Date,BkLHJ_Cases,BkLHJ_CumulCases,BkLHJ_Deaths,BkLHJ_CumulDeaths,ACLHJ_Cases,ACLHJ_CumulCases,ACLHJ_Deaths,ACLHJ_CumulDeaths,AC_Cases,AC_CumulCases,AC_Deaths,AC_CumulDeaths
2/28/2020,1,1,0,0,1,1,0,0,2,2,0,0
2/29/2020,0,1,0,0,0,1,0,0,0,2,0,0
3/1/2020,0,1,0,0,0,1,0,0,0,2,0,0
3/2/2020,0,1,0,0,0,1,0,0,0,2,0,0
3/3/2020,0,1,0,0,0,1,0,0,0,2,0,0
3/4/2020,0,1,0,0,0,1,0,0,0,2,0,0
3/5/2020,0,1,0,0,0,1,0,0,0,2,0,0
3/6/2020,0,1,0,0,1,2,0,0,1,3,0,0
3/7/2020,0,1,0,0,0,2,0,0,0,3,0,0
3/8/2020,0,1,0,0,1,3,0,0,1,4,0,0
3/9/2020,0,1,0,0,0,3,0,0,0,4,0,0
3/10/2020,0,1,0,0,7,10,0,0,7,11,0,0
3/11/2020,0,1,0,0,1,11,0,0,1,12,0,0
3/12/2020,0,1,0,0,1,12,0,0,1,13,0,0
3/13/2020,0,1,0,0,1,13,0,0,1,14,0,0
3/14/2020,0,1,0,0,8,21,0,0,8,22,0,0
3/15/2020,0,1,0,0,0,21,0,0,0,22,0,0
3/16/2020,0,1,0,0,11,32,0,0,11,33,0,0
3/17/2020,0,1,0,0,2,34,0,0,2,35,0,0
3/18/2020,1,2,0,0,8,42,0,0,9,44,0,0
3/19/2020,1,3,0,0,7,49,0,0,8,52,0,0
3/20/2020,1,4,0,0,20,69,0,0,21,73,0,0
3/21/2020,0,4,0,0,17,86,0,0,17,90,0,0
3/22/2020,1,5,0,0,27,113,2,2,28,118,2,2
3/23/2020,5,10,0,0,19,132,0,2,24,142,0,2
3/24/2020,0,10,0,0,20,152,0,2,20,162,0,2
3/25/2020,3,13,0,0,35,187,2,4,38,200,2,4
3/26/2020,2,15,0,0,37,224,1,5,39,239,1,5
3/27/2020,3,18,0,0,34,258,2,7,37,276,2,7
3/28/2020,0,18,0,0,21,279,3,10,21,297,3,10
3/29/2020,0,18,0,0,10,289,0,10,10,307,0,10
3/30/2020,0,18,0,0,49,338,0,10,49,356,0,10
3/31/2020,1,19,0,0,44,382,1,11,45,401,1,11
4/1/2020,4,23,0,0,40,422,2,13,44,445,2,13
4/2/2020,1,24,0,0,51,473,1,14,52,497,1,14
4/3/2020,4,28,0,0,71,544,1,15,75,572,1,15
4/4/2020,1,29,0,0,30,574,1,16,31,603,1,16
4/5/2020,0,29,0,0,29,603,2,18,29,632,2,18
4/6/2020,1,30,0,0,42,645,2,20,43,675,2,20
4/7/2020,2,32,0,0,26,671,3,23,28,703,3,23
4/8/2020,1,33,1,1,38,709,2,25,39,742,3,26
4/9/2020,3,36,0,1,55,764,2,27,58,800,2,28
4/10/2020,0,36,0,1,30,794,2,29,30,830,2,30
4/11/2020,0,36,0,1,46,840,3,32,46,876,3,33
4/12/2020,0,36,0,1,50,890,4,36,50,926,4,37
4/13/2020,0,36,0,1,31,921,3,39,31,957,3,40
4/14/2020,2,38,0,1,26,947,4,43,28,985,4,44
4/15/2020,2,40,0,1,80,1027,1,44,82,1067,1,45
4/16/2020,1,41,0,1,38,1065,0,44,39,1106,0,45
4/17/2020,2,43,0,1,52,1117,5,49,54,1160,5,50
4/18/2020,1,44,0,1,54,1171,2,51,55,1215,2,52
4/19/2020,0,44,0,1,33,1204,1,52,33,1248,1,53
4/20/2020,1,45,0,1,41,1245,2,54,42,1290,2,55
4/21/2020,1,46,0,1,38,1283,2,56,39,1329,2,57
4/22/2020,0,46,0,1,41,1324,2,58,41,1370,2,59
4/23/2020,1,47,0,1,51,1375,2,60,52,1422,2,61
4/24/2020,0,47,0,1,25,1400,2,62,25,1447,2,63
4/25/2020,0,47,0,1,30,1430,0,62,30,1477,0,63
4/26/2020,1,48,0,1,37,1467,1,63,38,1515,1,64
4/27/2020,3,51,0,1,23,1490,2,65,26,1541,2,66
4/28/2020,0,51,0,1,30,1520,1,66,30,1571,1,67
4/29/2020,1,52,0,1,34,1554,3,69,35,1606,3,70
4/30/2020,1,53,0,1,41,1595,0,69,42,1648,0,70
5/1/2020,0,53,0,1,65,1660,1,70,65,1713,1,71
5/2/2020,1,54,0,1,45,1705,1,71,46,1759,1,72
5/3/2020,1,55,0,1,25,1730,2,73,26,1785,2,74
5/4/2020,1,56,0,1,34,1764,0,73,35,1820,0,74
5/5/2020,4,60,0,1,41,1805,1,74,45,1865,1,75
5/6/2020,3,63,0,1,53,1858,2,76,56,1921,2,77
5/7/2020,2,65,0,1,42,1900,2,78,44,1965,2,79
5/8/2020,1,66,0,1,63,1963,2,80,64,2029,2,81
5/9/2020,0,66,0,1,34,1997,1,81,34,2063,1,82
5/10/2020,0,66,0,1,34,2031,1,82,34,2097,1,83
5/11/2020,1,67,0,1,33,2064,2,84,34,2131,2,85
5/12/2020,0,67,0,1,41,2105,3,87,41,2172,3,88
5/13/2020,0,67,0,1,65,2170,1,88,65,2237,1,89
5/14/2020,0,67,0,1,56,2226,1,89,56,2293,1,90
5/15/2020,1,68,0,1,63,2289,2,91,64,2357,2,92
5/16/2020,1,69,0,1,54,2343,2,93,55,2412,2,94
5/17/2020,1,70,0,1,36,2379,1,94,37,2449,1,95
5/18/2020,0,70,0,1,60,2439,0,94,60,2509,0,95
5/19/2020,1,71,0,1,52,2491,1,95,53,2562,1,96
5/20/2020,1,72,0,1,72,2563,0,95,73,2635,0,96
5/21/2020,8,80,0,1,73,2636,0,95,81,2716,0,96
5/22/2020,7,87,0,1,72,2708,1,96,79,2795,1,97
5/23/2020,0,87,0,1,66,2774,2,98,66,2861,2,99
5/24/2020,0,87,0,1,72,2846,1,99,72,2933,1,100
5/25/2020,0,87,0,1,63,2909,1,100,63,2996,1,101
5/26/2020,3,90,0,1,55,2964,0,100,58,3054,0,101
5/27/2020,0,90,0,1,50,3014,0,100,50,3104,0,101
5/28/2020,3,93,0,1,103,3117,1,101,106,3210,1,102
5/29/2020,2,95,0,1,106,3223,1,102,108,3318,1,103
5/30/2020,0,95,0,1,105,3328,1,103,105,3423,1,104
5/31/2020,0,95,0,1,33,3361,1,104,33,3456,1,105
6/1/2020,2,97,0,1,56,3417,1,105,58,3514,1,106
6/2/2020,1,98,0,1,80,3497,0,105,81,3595,0,106
6/3/2020,1,99,0,1,71,3568,1,106,72,3667,1,107
6/4/2020,0,99,0,1,69,3637,0,106,69,3736,0,107
6/5/2020,5,104,0,1,71,3708,0,106,76,3812,0,107
6/6/2020,1,105,0,1,63,3771,1,107,64,3876,1,108
6/7/2020,1,106,0,1,71,3842,0,107,72,3948,0,108
6/8/2020,4,110,0,1,29,3871,1,108,33,3981,1,109
6/9/2020,2,112,0,1,72,3943,0,108,74,4055,0,109
6/10/2020,0,112,0,1,69,4012,0,108,69,4124,0,109
6/11/2020,0,112,0,1,92,4104,0,108,92,4216,0,109
